id	WT1	WT2	KO1	KO2
ENSG00000005436	1372	1654	1516	1889
ENSG00000011260	8736	5799	8295	6607
ENSG00000040531	1814	1557	1614	1275
ENSG00000049246	452	420	384	372
ENSG00000059728	1787	2249	1711	2037
ENSG00000076382	1610	9631	2405	11459
ENSG00000078401	301	45	169	42
ENSG00000086065	14476	4702	11734	4010
ENSG00000091073	314	691	299	652
ENSG00000104549	11629	4978	12059	5516
ENSG00000112308	11115	13183	11975	13257
ENSG00000113761	1349	1536	1219	1654
ENSG00000114626	414	729	345	486
ENSG00000120805	5005	4442	4791	4229
ENSG00000125835	71168	56264	52765	60958
ENSG00000128626	12562	6620	9566	7945
ENSG00000129116	194	824	333	910
ENSG00000132305	9644	11069	10838	11446
ENSG00000132964	2735	2265	2687	2275
ENSG00000140807	194	179	96	210
ENSG00000144747	2183	4224	2285	3674
ENSG00000147130	377	1150	537	1590
ENSG00000147535	1332	1264	1086	980
ENSG00000157193	2367	5960	2609	6432
ENSG00000161999	1867	3756	1660	3909
ENSG00000162702	1805	3186	1746	2720
ENSG00000163376	4468	2848	4820	2810
ENSG00000164327	1007	2629	1132	2316
ENSG00000164484	112	144	29	109
ENSG00000164609	2601	6383	2819	5271
ENSG00000166133	3288	2674	3034	3354
ENSG00000166455	74	150	65	79
ENSG00000166532	391	433	351	477
ENSG00000182162	789	5068	1242	4043
ENSG00000183421	67	15	68	67
ENSG00000185019	603	1211	480	1180
ENSG00000188985	3415	1703	3587	2096
ENSG00000197343	6207	4804	5924	4507
ENSG00000197780	806	1162	860	1005
ENSG00000198331	504	472	491	421
ENSG00000198435	154	331	161	301
ENSG00000213137	678	629	638	634
ENSG00000217733	2351	1471	2013	1772
ENSG00000240296	103	111	142	91
ENSG00000247626	5427	2506	5310	3463
ENSG00000250506	39	329	40	218
ENSG00000253729	14229	46473	16001	52635
ENSG00000255639	5914	3590	6096	4019
ENSG00000259032	1562	1791	1193	1589
ENSG00000260300	175	123	128	112
